Fold,MAE (kcal/mol),parameters
1,0.99848384,"[2, 261, 1, 61, 0.857, 0.933, 0.20006]"
1,0.8119866,"[2, 33, 2, 204, 0.952, 0.914, 0.5]"
1,1.2932634,"[1, 5, 1, 118, 0.99, 0.933, 0.30004]"
1,1.3297507,"[2, 232, 2, 33, 0.8190000000000001, 0.99, 0.25005]"
1,1.0967517,"[1, 118, 1, 33, 0.895, 0.971, 0.40002]"
1,1.2377359,"[2, 90, 1, 147, 0.8380000000000001, 0.8380000000000001, 0.15006999999999998]"
1,1.1873381,"[2, 33, 2, 61, 0.8, 0.857, 0.5]"
1,1.0032204,"[2, 90, 1, 204, 0.99, 0.8190000000000001, 0.35003]"
1,1.2725279,"[2, 61, 1, 232, 0.99, 0.933, 0.10008]"
1,1.2375393,"[2, 61, 1, 5, 0.8, 0.914, 0.45000999999999997]"
1,1.1686732,"[2, 5, 2, 118, 0.8380000000000001, 0.99, 0.25005]"
1,1.0287938,"[2, 232, 1, 204, 0.952, 0.8380000000000001, 0.15006999999999998]"
1,1.1129692,"[2, 33, 2, 204, 0.99, 0.8190000000000001, 0.35003]"
1,0.9674928,"[1, 90, 2, 204, 0.99, 0.8190000000000001, 0.35003]"
1,1.2253964,"[2, 33, 2, 204, 0.952, 0.8, 0.5]"
1,1.1013118,"[2, 90, 2, 204, 0.8190000000000001, 0.914, 0.25005]"
1,1.220691,"[2, 33, 2, 204, 0.8190000000000001, 0.914, 0.35003]"
1,1.053328,"[2, 33, 2, 204, 0.952, 0.914, 0.5]"
1,1.061395,"[1, 175, 1, 204, 0.952, 0.914, 0.10008]"
1,1.1433126,"[2, 33, 2, 204, 0.952, 0.914, 0.0001]"
1,1.1303937,"[2, 33, 1, 204, 0.914, 0.99, 0.5]"
1,1.0451863,"[1, 204, 2, 204, 0.952, 0.876, 0.45000999999999997]"
1,1.0262995,"[2, 33, 2, 204, 0.952, 0.914, 0.05009]"
1,1.0074475,"[2, 61, 1, 204, 0.952, 0.895, 0.5]"
1,0.9347177,"[2, 147, 2, 204, 0.952, 0.952, 0.5]"
1,0.9670851,"[1, 90, 2, 204, 0.876, 0.8190000000000001, 0.5]"
1,1.0067239,"[2, 90, 1, 204, 0.952, 0.876, 0.5]"
1,1.1452876,"[1, 261, 2, 175, 0.857, 0.952, 0.20006]"
