FXR10,FXR38,1.7027065494515918
FXR38,FXR10,-1.7027065494515918
FXR76,FXR78,-4.3216549560363315
FXR78,FXR76,4.3216549560363315
FXR76,FXR89,-2.3928973286277198
FXR89,FXR76,2.3928973286277198
FXR76,FXR77,-3.0315172712063942
FXR77,FXR76,3.0315172712063942
FXR77,FXR81,1.4069385062771531
FXR81,FXR77,-1.406938506277153
FXR76,FXR81,-1.6245787649292411
FXR81,FXR76,1.6245787649292411
FXR76,FXR82,-3.226053050574939
FXR82,FXR76,3.226053050574939
FXR81,FXR82,-1.6014742856456976
FXR82,FXR81,1.6014742856456976
FXR76,FXR83,-2.8671074154794445
FXR83,FXR76,2.8671074154794445
FXR82,FXR83,0.35894563509549426
FXR83,FXR82,-0.35894563509549426
FXR76,FXR88,-2.5754693309581467
FXR88,FXR76,2.5754693309581467
FXR76,FXR85,-2.929500524390062
FXR85,FXR76,2.929500524390062
FXR88,FXR85,-0.3540311934319151
FXR85,FXR88,0.3540311934319151
FXR76,FXR74,-2.461138133125015
FXR74,FXR76,2.461138133125015
FXR74,FXR85,-0.4683623912650468
FXR85,FXR74,0.46836239126504675
FXR76,FXR84,-1.3146365805323568
FXR84,FXR76,1.3146365805323568
FXR84,FXR74,-1.1465015525926583
FXR74,FXR84,1.1465015525926583
FXR76,FXR12,-3.8967128223326406
FXR12,FXR76,3.8967128223326406
FXR12,FXR84,2.582076241800284
FXR84,FXR12,-2.582076241800284
FXR12,FXR41,4.413261899205498
FXR41,FXR12,-4.413261899205499
