throm_jm_3B,throm_jm_3A,0.7,0.4
throm_jm_3C,throm_jm_3B,0.2,0.2
throm_jm_3D,throm_jm_3A,1.3,0.4
throm_jm_3D,throm_jm_3B,0.6,0.2
throm_jm_3D,throm_jm_3C,0.4,0.2
throm_jm_3E,throm_jm_3C,-0.24,0.06
throm_jm_3E,throm_jm_3D,-0.7,0.2
throm_jm_3F,throm_jm_3C,0.6,0.2
throm_jm_3G,throm_jm_3A,1.8,0.4
throm_jm_3H,throm_jm_3A,2.2,0.4
throm_jm_3I,throm_jm_3B,0.9,0.2
throm_jm_3J,throm_jm_3B,1.6,0.2
throm_jm_3K,throm_jm_3B,0.9,0.2
throm_jm_5B,throm_jm_5A,-0.8,0.1
throm_jm_5C,throm_jm_5B,0.9,0.1
throm_jm_5D,throm_jm_5A,0.7,0.2
throm_jm_5D,throm_jm_5B,1.5,0.1
throm_jm_5D,throm_jm_5C,0.6,0.1
throm_jm_5E,throm_jm_5C,1.2,0.1
throm_jm_5E,throm_jm_5D,0.6,0.1
throm_jm_5F,throm_jm_5C,1.5,0.2
throm_jm_5G,throm_jm_5C,1.7,0.1
throm_jm_5G,throm_jm_5F,0.2,0.2
throm_jm_5H,throm_jm_5A,1.7,0.2
throm_jm_5I,throm_jm_5A,2.4,0.2
throm_jm_5J,throm_jm_5B,3.4,0.2
throm_jm_5K,throm_jm_5B,3.1,0.2

