FEP Results - Summary of means and sds
Simulation   ,  MBARme,  TImean,  MBARsd,  TIsdev
tyk_lig10,tyk_lig15         , -3.2864, -3.9925,  0.1565,  2.2018
tyk_lig10,tyk_lig6          , -2.4200, -2.2358,  0.2408,  0.1547
tyk_lig11,tyk_lig14         ,  0.0157,  0.0386,  0.3395,  0.0053
tyk_lig11,tyk_lig4          ,  0.1594,  0.2395,  0.5217,  0.2310
tyk_lig11,tyk_lig7          ,  0.8895,  0.8836,  0.0454,  0.2429
tyk_lig12,tyk_lig17         ,  0.3383,  1.2283,  0.0256,  0.1734
tyk_lig13,tyk_lig17         ,  1.1108,  1.1009,  0.4386,  1.1380
tyk_lig14,tyk_lig2          , -0.0976, -0.1069,  0.0056,  0.4428
tyk_lig14,tyk_lig4          ,  0.1131,  0.0881,  0.0230,  0.3174
tyk_lig14,tyk_lig7          ,  1.0321,  1.0081,  0.3656,  0.0289
tyk_lig15,tyk_lig16         , -0.7172, -0.7045,  0.2805,  0.0097
tyk_lig15,tyk_lig17         ,  1.7242,  1.8018,  0.3557,  0.1325
tyk_lig15,tyk_lig1          ,  0.0646,  0.0375,  0.0646,  0.3254
tyk_lig15,tyk_lig3          ,  0.2597,  0.3074,  0.0035,  0.3153
tyk_lig15,tyk_lig5          , -1.4522, -1.4519,  0.4608,  0.6763
tyk_lig15,tyk_lig6          ,  1.3314,  1.3213,  0.5383,  0.2662
tyk_lig16,tyk_lig5          ,  0.3076,  0.3280,  0.0193,  0.4016
tyk_lig17,tyk_lig1          , -1.4930, -1.5201,  0.0723,  0.4212
tyk_lig17,tyk_lig4          , -1.7439, -4.3221,  0.2527,  3.0530
tyk_lig17,tyk_lig8          , -0.7133, -1.4146,  0.2376,  0.0061
tyk_lig1,tyk_lig9           , -0.0776, -0.3266,  0.1939,  0.1310
tyk_lig2,tyk_lig7           ,  1.2362,  1.2182,  0.0587,  0.3485
tyk_lig3,tyk_lig5           , -1.7263, -1.7043,  0.1344,  0.4415
