FEP Results - Summary of means and sds
Simulation            ,   MBARme,   TImean,   MBARsd,   TIsdev
cdk2_lig10,cdk2_lig16 ,    1.0403,    1.1985,    0.2101,    0.9168
cdk2_lig10,cdk2_lig4  ,   -1.1723,   -1.0817,    0.3819,    0.2912
cdk2_lig11,cdk2_lig16 ,   -2.0277,    6.1845,   24.6389,    0.2487
cdk2_lig11,cdk2_lig1  ,   -0.2449,   -0.2301,    0.0872,    0.5829
cdk2_lig11,cdk2_lig2  ,   -0.4723,   -0.5140,    0.0600,    0.5688
cdk2_lig11,cdk2_lig5  ,   -0.9281,   -1.3695,    0.5153,    1.2961
cdk2_lig11,cdk2_lig7  ,    0.2185,    0.0950,    0.2180,    0.4659
cdk2_lig13,cdk2_lig16 ,   -0.1233,    1.0986,    1.6066,    1.0810
cdk2_lig13,cdk2_lig6  ,   -1.7923,   -1.7777,    0.3982,    0.2601
cdk2_lig14,cdk2_lig15 ,   -0.3844,   -0.3681,    0.2863,    0.9255
cdk2_lig14,cdk2_lig8  ,   -0.7204,   -1.1460,    0.0417,    0.4775
cdk2_lig14,cdk2_lig9  ,    0.0640,    0.0727,    0.2716,    0.3476
cdk2_lig15,cdk2_lig16 ,    0.2823,    0.2084,    0.8536,    1.3769
cdk2_lig15,cdk2_lig8  ,    0.0355,    0.0183,    0.1370,    0.7976
cdk2_lig16,cdk2_lig12*,    0.4433,    1.0947,    0.8480,    0.5474
cdk2_lig16,cdk2_lig1  ,   -2.1278,   -1.5923,    0.6589,    0.8128
cdk2_lig16,cdk2_lig4  ,   -1.8021,   -1.7529,    0.1545,    0.8813
cdk2_lig16,cdk2_lig6  ,    0.3950,    2.0700,    2.3789,    4.2682
cdk2_lig16,cdk2_lig8  ,   -0.4017,   -0.4007,    0.5815,    1.3871
cdk2_lig1,cdk2_lig12*,    0.9418,  -36.5921,    0.1670,  -18.2961
cdk2_lig2,cdk2_lig7  ,    0.0114,    0.0816,    0.2532,    0.4062
cdk2_lig3,cdk2_lig12*,    1.0280,   -1.3570,    0.3137,   -0.6785
cdk2_lig3,cdk2_lig4  ,    0.0589,   -4.5140,    2.3658,    9.1678
cdk2_lig5,cdk2_lig7  ,    0.5033,17452.7503,    0.7384,19468.3948
cdk2_lig5,cdk2_lig9  ,    1.0024,   56.1711,   25.5671,   54.6062
cdk2_lig8,cdk2_lig9  ,    1.1986,    1.2355,    0.0060,    0.4207
* results for one direction only
