FEP Results - Summary of means and sds
Simulation            ,   MBARme,   TImean,   MBARsd,   TIsdev
throm_lig1a,throm_lig1b,   -0.5897,   -0.5859,    0.0270,    0.3136
throm_lig1a,throm_lig1c,   -1.1254,   -1.0914,    0.1574,    0.1337
throm_lig1a,throm_lig5 ,    0.4325,    0.4268,    0.0220,    0.3086
throm_lig1b,throm_lig1c,   -0.3280,   -0.3326,    0.0295,    0.3179
throm_lig1b,throm_lig1d,   -0.3468,   -0.3825,    0.2210,    0.5504
throm_lig1b,throm_lig3a,   -0.0092,   -0.0302,    0.1396,    0.4969
throm_lig1c,throm_lig1d,    0.2631,    0.2741,    0.1773,    0.4675
throm_lig3a,throm_lig3b,    0.0865,   -0.0209,    0.2788,    0.5234
throm_lig3a,throm_lig5 ,    1.1857,    1.1620,    0.3757,    0.2374
throm_lig3a,throm_lig6a,   -1.3100,   -1.3743,    0.2450,    0.3801
throm_lig3a,throm_lig6b,   -0.2476,   -0.3068,    0.0087,    0.4055
throm_lig3a,throm_lig7a,    0.6266,    0.5636,    0.2965,    0.6190
throm_lig5,throm_lig6e,   -2.1402,   -2.2006,    1.0527,    0.5682
* results for one direction only
