PCX,Highest contributing feature
PC1,nHeavyAtom
PC2,Mpe
PC3,GATS1p
PC4,AETA_eta
PC5,NssssC
PC6,ATSC1c
PC7,MPC9
PC8,n5Ring
PC9,ATSC2v
PC10,AATSC0i
PC11,ATSC1p
PC12,MATS1Z
PC13,naHRing
PC14,SMR_VSA3
PC15,nHBDon
PC16,AMID_N
PC17,SlogP_VSA8
PC18,n7HRing
PC19,nBondsT
PC20,n5HRing
PC21,NaaNH
PC22,ATSC2d
PC23,n4Ring
PC24,nFaRing
PC25,n10FHRing
PC26,SdCH2
PC27,n4Ring
PC28,n5aRing
PC29,n4Ring
PC30,ATSC4m
PC31,NssNH
PC32,n4HRing
PC33,BCUTm-1l
PC34,SsBr
PC35,ATSC5v
PC36,ATSC7v
PC37,NdsN
PC38,NtN
PC39,C2SP1
PC40,SsBr
PC41,SaaN
PC42,SaaS
PC43,NdsN
PC44,SdsCH
PC45,nG12FaRing
PC46,NaaS
PC47,ATSC5i
PC48,SsSH
PC49,NsSH
PC50,n3HRing
PC51,n3HRing
PC52,SaaS
PC53,BCUTm-1l
PC54,n10FHRing
PC55,NdsN
PC56,n7Ring
PC57,VSA_EState5
PC58,EState_VSA3
PC59,SaaS
PC60,SMR_VSA4
PC61,n10FHRing
PC62,nG12FaRing
PC63,nG12FaRing
PC64,SsssN
PC65,nG12FaRing
PC66,JGI5
