#@@@@@@
#perturbation,,,,,DG_free_to_bound  err
throm_jm_3B,throm_jm_3A,0.59,0.02
throm_jm_3C,throm_jm_3B,0.63,0.04
throm_jm_3D,throm_jm_3A,1.3,0.1
throm_jm_3D,throm_jm_3B,1.2,0.1
throm_jm_3D,throm_jm_3C,0.49,0.06
throm_jm_3E,throm_jm_3C,0.8,0.06
throm_jm_3E,throm_jm_3D,0.48,0.05
throm_jm_3F,throm_jm_3C,1.07,0.05
throm_jm_3G,throm_jm_3A,2.9,0.1
throm_jm_3H,throm_jm_3A,2.9,0.2
throm_jm_3I,throm_jm_3B,2.47,0.03
throm_jm_3J,throm_jm_3B,3.8,0.3
throm_jm_3K,throm_jm_3B,2.4,0.2
throm_jm_5B,throm_jm_5A,0,0.2
throm_jm_5C,throm_jm_5B,0.82,0.04
throm_jm_5D,throm_jm_5A,2.4,0.1
throm_jm_5D,throm_jm_5B,1.49,0.08
throm_jm_5D,throm_jm_5C,0.99,0.03
throm_jm_5E,throm_jm_5C,1.17,0.03
throm_jm_5E,throm_jm_5D,0.98,0.03
throm_jm_5F,throm_jm_5C,0.84,0.09
throm_jm_5G,throm_jm_5C,2,0.2
throm_jm_5G,throm_jm_5F,0.7,0.3
throm_jm_5H,throm_jm_5A,3.2,0.2
throm_jm_5I,throm_jm_5A,4.9,0.2
throm_jm_5J,throm_jm_5B,4.3,0.4
throm_jm_5K,throm_jm_5B,2.9,0.2
