Perturbation,ddG_offset
BACE_28>BACE_23,0.74
BACE_10>BACE_04,0.82
BACE_26>BACE_24,-1.09
BACE_23>BACE_30,0.18
BACE_35>BACE_23,1.51
BACE_13>BACE_18,0.007
BACE_28>BACE_30,1.2
BACE_36>BACE_26,0.9
BACE_35>BACE_31,0.65
BACE_04>BACE_16,1.38
BACE_10>BACE_16,0.73
BACE_06>BACE_33,1.96
BACE_02>BACE_24,1.4
BACE_34>BACE_24,1.44
BACE_04>BACE_10,-0.85
BACE_05>BACE_35,-2.32
BACE_17>BACE_18,-1.193
BACE_16>BACE_10,-0.87
BACE_07>BACE_03,-0.47
BACE_33>BACE_08,1.42
BACE_24>BACE_34,1.36
BACE_23>BACE_35,-0.51
BACE_02>BACE_12,-0.73
BACE_03>BACE_07,-1.36
BACE_26>BACE_36,-1.32
BACE_19>BACE_18,1.307
BACE_03>BACE_32,-0.34
BACE_15>BACE_24,-0.28
BACE_19>BACE_26,1.76
BACE_31>BACE_35,-0.28
BACE_35>BACE_05,2.23
BACE_24>BACE_19,-0.6
BACE_23>BACE_28,-1.12
BACE_22>BACE_36,-0.41
BACE_24>BACE_02,0.92
BACE_32>BACE_03,1.67
BACE_32>BACE_25,0.81
BACE_30>BACE_23,0.23
BACE_17>BACE_13,-0.18
BACE_15>BACE_13,-1.02
BACE_08>BACE_11,-1.45
BACE_23>BACE_31,0.45
BACE_32>BACE_21,1.46
BACE_18>BACE_19,-1.667
BACE_36>BACE_19,-0.3
BACE_13>BACE_19,-1.11
BACE_19>BACE_36,-0.08
BACE_04>BACE_14,-0.48
BACE_25>BACE_32,0.13
BACE_32>BACE_05,3.43
BACE_19>BACE_24,0.8
BACE_35>BACE_32,-0.24
BACE_19>BACE_15,1.72
BACE_12>BACE_02,0.82
BACE_10>BACE_02,0.83
BACE_08>BACE_33,-0.73
BACE_15>BACE_19,-1.57
BACE_34>BACE_02,0.63
BACE_13>BACE_15,0.69
BACE_16>BACE_04,-0.93
BACE_25>BACE_27,0.48
BACE_21>BACE_32,-1.2
BACE_30>BACE_28,-0.7
BACE_26>BACE_19,-1.5
BACE_06>BACE_11,0.0
BACE_18>BACE_13,0.033
BACE_24>BACE_26,0.46
BACE_11>BACE_08,0.22
BACE_32>BACE_35,1.61
BACE_24>BACE_12,0.0
BACE_33>BACE_06,-0.51
BACE_02>BACE_34,-0.59
BACE_18>BACE_17,0.983
BACE_24>BACE_15,0.98
BACE_19>BACE_22,1.27
BACE_11>BACE_06,-1.83
BACE_27>BACE_32,-0.41
BACE_31>BACE_23,-0.81
BACE_22>BACE_19,-0.64
BACE_36>BACE_22,0.08
BACE_13>BACE_17,0.45
BACE_12>BACE_24,0.13
BACE_05>BACE_32,-2.42
BACE_19>BACE_13,0.58
BACE_32>BACE_27,0.35
