Perturbation,ddG_offset
tyk_lig5>tyk_lig16,1.032
tyk_lig3>tyk_lig15,0.544
tyk_lig10>tyk_lig15,-1.083
tyk_lig9>tyk_lig1,-0.136
tyk_lig15>tyk_lig1,-0.305
tyk_lig15>tyk_lig3,-0.537
tyk_lig10>tyk_lig6,-1.821
tyk_lig2>tyk_lig7,1.335
tyk_lig1>tyk_lig9,-0.252
tyk_lig7>tyk_lig2,-1.217
tyk_lig7>tyk_lig14,-0.678
tyk_lig11>tyk_lig7,0.544
tyk_lig5>tyk_lig15,2.483
tyk_lig14>tyk_lig7,-0.053
tyk_lig16>tyk_lig15,-0.313
tyk_lig15>tyk_lig10,0.77
tyk_lig15>tyk_lig16,-0.248
tyk_lig7>tyk_lig11,-0.635
tyk_lig16>tyk_lig5,-0.993
tyk_lig15>tyk_lig5,-1.561
tyk_lig6>tyk_lig10,1.339
tyk_lig11>tyk_lig14,0.096
tyk_lig14>tyk_lig11,-0.775
tyk_lig5>tyk_lig3,1.631
tyk_lig4>tyk_lig11,-0.711
tyk_lig15>tyk_lig6,-0.727
tyk_lig3>tyk_lig5,-1.362
tyk_lig6>tyk_lig15,-0.35
tyk_lig11>tyk_lig4,-0.332
tyk_lig14>tyk_lig2,-0.863
tyk_lig14>tyk_lig4,-0.3
tyk_lig4>tyk_lig14,0.254
tyk_lig2>tyk_lig14,0.852
