Perturbation,ddG_offset
ptp1b_lig11>ptp1b_lig19,0.508
ptp1b_lig11>ptp1b_lig15,0.363
ptp1b_lig1>ptp1b_lig2,-1.114
ptp1b_lig11>ptp1b_lig23,-0.919
ptp1b_lig12>ptp1b_lig5,0.362
ptp1b_lig19>ptp1b_lig15,1.662
ptp1b_lig9>ptp1b_lig22,0.482
ptp1b_lig6>ptp1b_lig14,-0.409
ptp1b_lig10>ptp1b_lig18,-0.508
ptp1b_lig14>ptp1b_lig8,-0.778
ptp1b_lig2>ptp1b_lig1,1.161
ptp1b_lig10>ptp1b_lig7,0.507
ptp1b_lig17>ptp1b_lig21,-1.831
ptp1b_lig4>ptp1b_lig22,0.082
ptp1b_lig19>ptp1b_lig11,0.824
ptp1b_lig5>ptp1b_lig16,0.29
ptp1b_lig13>ptp1b_lig19,0.093
ptp1b_lig22>ptp1b_lig9,0.079
ptp1b_lig15>ptp1b_lig19,0.326
ptp1b_lig2>ptp1b_lig19,3.615
ptp1b_lig22>ptp1b_lig4,-0.409
ptp1b_lig19>ptp1b_lig13,0.515
ptp1b_lig7>ptp1b_lig10,-0.596
ptp1b_lig15>ptp1b_lig11,-0.458
ptp1b_lig23>ptp1b_lig11,1.132
ptp1b_lig19>ptp1b_lig20,-1.068
ptp1b_lig20>ptp1b_lig19,1.403
ptp1b_lig21>ptp1b_lig6,3.173
ptp1b_lig6>ptp1b_lig21,-2.668
ptp1b_lig16>ptp1b_lig5,1.523
ptp1b_lig19>ptp1b_lig2,-0.28
ptp1b_lig17>ptp1b_lig14,0.735
ptp1b_lig14>ptp1b_lig17,-1.231
ptp1b_lig14>ptp1b_lig6,0.215
ptp1b_lig18>ptp1b_lig10,0.969
ptp1b_lig5>ptp1b_lig12,0.123
ptp1b_lig21>ptp1b_lig17,2.049
