Perturbation,ddG_offset
jnk1_lig16>jnk1_lig6,-0.368
jnk1_lig2>jnk1_lig13,-1.496
jnk1_lig5>jnk1_lig20,-2.311
jnk1_lig2>jnk1_lig19,0.963
jnk1_lig5>jnk1_lig3,0.016
jnk1_lig14>jnk1_lig5,1.037
jnk1_lig5>jnk1_lig21,-1.063
jnk1_lig13>jnk1_lig12,-0.72
jnk1_lig2>jnk1_lig18,0.515
jnk1_lig20>jnk1_lig5,2.221
jnk1_lig14>jnk1_lig6,0.436
jnk1_lig5>jnk1_lig2,-1.981
jnk1_lig3>jnk1_lig7,-1.534
jnk1_lig5>jnk1_lig7,-0.652
jnk1_lig3>jnk1_lig5,-0.78
jnk1_lig2>jnk1_lig15,-0.354
jnk1_lig10>jnk1_lig2,0.31
jnk1_lig1>jnk1_lig7,-0.155
jnk1_lig21>jnk1_lig20,-0.307
jnk1_lig21>jnk1_lig5,0.037
jnk1_lig19>jnk1_lig21,-0.493
jnk1_lig19>jnk1_lig2,-1.005
jnk1_lig6>jnk1_lig5,0.232
jnk1_lig9>jnk1_lig20,-1.866
jnk1_lig5>jnk1_lig16,0.51
jnk1_lig5>jnk1_lig19,-0.266
jnk1_lig6>jnk1_lig14,-1.093
jnk1_lig10>jnk1_lig15,0.318
jnk1_lig7>jnk1_lig3,1.768
jnk1_lig5>jnk1_lig14,-1.239
jnk1_lig2>jnk1_lig11,-0.301
jnk1_lig2>jnk1_lig17,-1.294
jnk1_lig5>jnk1_lig18,-1.017
jnk1_lig9>jnk1_lig5,-0.634
jnk1_lig2>jnk1_lig10,-0.319
jnk1_lig8>jnk1_lig14,1.704
jnk1_lig18>jnk1_lig1,0.69
jnk1_lig6>jnk1_lig16,-0.105
jnk1_lig11>jnk1_lig2,0.677
jnk1_lig12>jnk1_lig2,0.655
jnk1_lig1>jnk1_lig5,0.498
jnk1_lig2>jnk1_lig4,-0.926
jnk1_lig14>jnk1_lig8,-2.212
jnk1_lig16>jnk1_lig5,-0.221
jnk1_lig4>jnk1_lig2,0.6
jnk1_lig7>jnk1_lig1,1.534
jnk1_lig20>jnk1_lig21,1.569
jnk1_lig2>jnk1_lig12,-0.234
jnk1_lig18>jnk1_lig2,-0.821
jnk1_lig15>jnk1_lig10,-0.497
jnk1_lig5>jnk1_lig1,-0.285
jnk1_lig20>jnk1_lig9,0.656
jnk1_lig15>jnk1_lig2,0.13
jnk1_lig21>jnk1_lig19,0.712
jnk1_lig7>jnk1_lig5,0.917
jnk1_lig13>jnk1_lig2,0.156
jnk1_lig17>jnk1_lig2,1.169
jnk1_lig1>jnk1_lig18,-0.108
jnk1_lig19>jnk1_lig5,0.394
jnk1_lig2>jnk1_lig5,1.264
jnk1_lig5>jnk1_lig9,-1.122
jnk1_lig5>jnk1_lig6,-0.474
jnk1_lig18>jnk1_lig5,1.269
jnk1_lig12>jnk1_lig13,0.167
