Perturbation,ddG_offset
mcl1_lig31>mcl1_lig3,-0.089
mcl1_lig20>mcl1_lig14,-1.472
mcl1_lig37>mcl1_lig34,0.593
mcl1_lig13>mcl1_lig21,-0.085
mcl1_lig39>mcl1_lig33,0.192
mcl1_lig7>mcl1_lig31,1.104
mcl1_lig3>mcl1_lig41,-1.254
mcl1_lig9>mcl1_lig3,-0.612
mcl1_lig5>mcl1_lig17,1.369
mcl1_lig1>mcl1_lig20,0.483
mcl1_lig39>mcl1_lig31,-1.39
mcl1_lig3>mcl1_lig27,-1.609
mcl1_lig16>mcl1_lig5,1.899
mcl1_lig5>mcl1_lig25,-0.341
mcl1_lig37>mcl1_lig30,-0.975
mcl1_lig3>mcl1_lig9,0.531
mcl1_lig28>mcl1_lig37,0.675
mcl1_lig33>mcl1_lig39,0.823
mcl1_lig39>mcl1_lig18,-0.883
mcl1_lig25>mcl1_lig36,-0.904
mcl1_lig31>mcl1_lig13,1.751
mcl1_lig3>mcl1_lig7,-1.353
mcl1_lig29>mcl1_lig34,1.561
mcl1_lig14>mcl1_lig20,1.694
mcl1_lig1>mcl1_lig14,-1.883
mcl1_lig20>mcl1_lig1,-0.857
mcl1_lig25>mcl1_lig5,0.812
mcl1_lig34>mcl1_lig16,-0.249
mcl1_lig7>mcl1_lig35,-0.002
mcl1_lig8>mcl1_lig20,0.824
mcl1_lig9>mcl1_lig41,-1.25
mcl1_lig37>mcl1_lig24,-0.107
mcl1_lig7>mcl1_lig22,0.693
mcl1_lig16>mcl1_lig34,-0.082
mcl1_lig10>mcl1_lig31,-1.552
mcl1_lig29>mcl1_lig35,1.282
mcl1_lig23>mcl1_lig11,1.411
mcl1_lig26>mcl1_lig20,1.316
mcl1_lig18>mcl1_lig39,2.343
mcl1_lig40>mcl1_lig37,1.159
mcl1_lig23>mcl1_lig20,-0.373
mcl1_lig27>mcl1_lig3,1.807
mcl1_lig35>mcl1_lig16,0.308
mcl1_lig34>mcl1_lig29,-2.417
mcl1_lig1>mcl1_lig39,2.107
mcl1_lig16>mcl1_lig40,-2.758
mcl1_lig37>mcl1_lig28,-1.755
mcl1_lig5>mcl1_lig36,-1.044
mcl1_lig7>mcl1_lig3,-1.492
mcl1_lig18>mcl1_lig26,0.343
mcl1_lig6>mcl1_lig5,0.204
mcl1_lig36>mcl1_lig25,0.466
mcl1_lig11>mcl1_lig19,-1.874
mcl1_lig11>mcl1_lig23,-1.111
mcl1_lig42>mcl1_lig31,-1.456
mcl1_lig31>mcl1_lig10,0.211
mcl1_lig35>mcl1_lig7,0.799
mcl1_lig24>mcl1_lig12,2.319
mcl1_lig13>mcl1_lig31,-0.9
mcl1_lig3>mcl1_lig5,0.826
mcl1_lig30>mcl1_lig37,0.739
mcl1_lig31>mcl1_lig22,0.706
mcl1_lig6>mcl1_lig17,1.388
mcl1_lig17>mcl1_lig5,-0.544
mcl1_lig15>mcl1_lig31,0.166
mcl1_lig31>mcl1_lig15,0.168
mcl1_lig20>mcl1_lig8,-0.038
mcl1_lig33>mcl1_lig20,-0.874
mcl1_lig39>mcl1_lig11,0.851
mcl1_lig17>mcl1_lig31,-0.687
mcl1_lig19>mcl1_lig11,1.798
mcl1_lig11>mcl1_lig39,-0.765
mcl1_lig12>mcl1_lig24,-1.521
mcl1_lig20>mcl1_lig33,0.942
mcl1_lig14>mcl1_lig1,0.556
mcl1_lig20>mcl1_lig23,1.035
mcl1_lig28>mcl1_lig40,0.309
mcl1_lig40>mcl1_lig16,2.78
mcl1_lig3>mcl1_lig31,0.113
mcl1_lig31>mcl1_lig17,1.066
mcl1_lig31>mcl1_lig7,-2.576
mcl1_lig12>mcl1_lig16,-0.522
mcl1_lig17>mcl1_lig6,-1.332
mcl1_lig30>mcl1_lig29,0.265
mcl1_lig40>mcl1_lig28,0.871
mcl1_lig41>mcl1_lig9,1.851
mcl1_lig39>mcl1_lig19,-1.253
mcl1_lig12>mcl1_lig25,-0.396
mcl1_lig26>mcl1_lig18,1.099
mcl1_lig36>mcl1_lig5,0.236
mcl1_lig22>mcl1_lig7,-0.769
mcl1_lig35>mcl1_lig29,-1.782
mcl1_lig5>mcl1_lig6,-0.273
mcl1_lig20>mcl1_lig26,-1.018
mcl1_lig21>mcl1_lig13,-0.281
mcl1_lig38>mcl1_lig31,0.952
mcl1_lig25>mcl1_lig12,-0.309
mcl1_lig19>mcl1_lig39,1.15
mcl1_lig32>mcl1_lig31,-1.258
mcl1_lig29>mcl1_lig30,-0.139
mcl1_lig22>mcl1_lig31,-1.006
mcl1_lig41>mcl1_lig3,0.959
mcl1_lig16>mcl1_lig35,-0.906
mcl1_lig34>mcl1_lig37,-0.929
mcl1_lig1>mcl1_lig8,0.793
mcl1_lig39>mcl1_lig1,-2.051
mcl1_lig37>mcl1_lig40,-1.982
mcl1_lig16>mcl1_lig12,0.795
mcl1_lig5>mcl1_lig16,-1.271
mcl1_lig31>mcl1_lig21,1.98
mcl1_lig24>mcl1_lig37,0.044
mcl1_lig8>mcl1_lig1,-0.977
mcl1_lig21>mcl1_lig31,-1.337
mcl1_lig5>mcl1_lig3,-1.981
