Perturbation,ddG_offset
throm_schr_lig3a>throm_schr_lig6a,-0.45
throm_schr_lig1c>throm_schr_lig1d,-0.047
throm_schr_lig1b>throm_schr_lig1d,-0.557
throm_schr_lig1b>throm_schr_lig3a,-0.149
throm_schr_lig1a>throm_schr_lig1c,-0.045
throm_schr_lig3a>throm_schr_lig6b,0.322
throm_schr_lig1a>throm_schr_lig5,0.532
throm_schr_lig3a>throm_schr_lig5,0.446
throm_schr_lig3a>throm_schr_lig3b,-0.374
throm_schr_lig1b>throm_schr_lig1c,-0.228
throm_schr_lig1a>throm_schr_lig1b,0.39
throm_schr_lig3a>throm_schr_lig7a,0.527
