Perturbation,ddG_offset
FXR93>FXR91,0.19
FXR46>FXR49,-1.759
FXR96>FXR17,0.177
FXR17>FXR48,-1.11
FXR96>FXR91,2.907
FXR49>FXR91,2.061
FXR98>FXR100,-2.333
FXR95>FXR48,-0.381
FXR91>FXR93,-0.68
FXR99>FXR95,-0.219
FXR96>FXR98,1.86
FXR17>FXR45,-4.515
FXR46>FXR100,1.291
FXR48>FXR95,2.541
FXR95>FXR96,0.402
FXR46>FXR98,-1.336
FXR96>FXR95,1.078
FXR100>FXR46,-0.601
FXR98>FXR46,0.006
FXR98>FXR96,0.87
FXR95>FXR17,-1.301
FXR91>FXR49,-3.691
FXR101>FXR91,-11.171
FXR100>FXR98,-0.877
FXR96>FXR46,0.476
FXR91>FXR99,-2.501
FXR17>FXR95,-1.479
FXR46>FXR96,-1.296
FXR99>FXR91,2.401
FXR48>FXR17,-0.05
FXR91>FXR96,-3.777
FXR45>FXR17,5.435
FXR91>FXR101,9.921
FXR17>FXR96,0.483
FXR49>FXR46,1.529
FXR95>FXR99,-0.031
