Perturbation,ddG_offset
FXR83>FXR82,0.009
FXR84>FXR12,2.462
FXR12>FXR84,-2.492
FXR76>FXR74,2.371
FXR82>FXR76,-1.516
FXR41>FXR12,9.523
FXR10>FXR38,-5.243
FXR84>FXR76,-1.065
FXR74>FXR84,0.043
FXR76>FXR85,3.88
FXR81>FXR82,1.161
FXR76>FXR12,4.437
FXR76>FXR78,2.702
FXR77>FXR81,-0.817
FXR76>FXR83,2.137
FXR85>FXR88,-0.494
FXR76>FXR77,2.282
FXR84>FXR74,0.567
FXR85>FXR74,-2.098
FXR76>FXR82,1.306
FXR88>FXR85,0.864
FXR74>FXR85,1.548
FXR38>FXR10,9.203
FXR88>FXR76,-2.525
FXR85>FXR76,-3.89
FXR82>FXR81,-1.191
FXR76>FXR88,0.045
FXR82>FXR83,0.161
FXR76>FXR81,2.105
FXR78>FXR76,-4.582
FXR83>FXR76,0.453
FXR81>FXR77,1.117
FXR81>FXR76,-1.755
FXR12>FXR76,-3.277
FXR74>FXR76,-1.281
FXR12>FXR41,-11.593
FXR77>FXR76,-3.122
FXR89>FXR76,-1.203
FXR76>FXR89,1.623
FXR76>FXR84,1.185
