#@@@@@@
#perturbtion					DGfreetobound  err

#####
FXR76,FXR85,0.95,0.06
FXR85,FXR76,-0.96,0.05
#####

#####
FXR74,FXR85,1.08,0.04
FXR85,FXR74,-1.63,0.04
#####

FXR82,FXR83,0.52,0.14
FXR83,FXR82,-0.35,0.14
#####
FXR84,FXR76,0.25,0.03
FXR76,FXR84,-0.13,0.03

FXR76,FXR82,-1.92,0.08
FXR82,FXR76,1.71,0.08
#####

#####

#####
FXR76,FXR88,-2.53,0.09
FXR88,FXR76,0.05,0.09
#####

#####
INT01,FXR79,4.70,0.13
FXR79,INT01,-11.69,0.12
#####
FXR73,INT01,-0.45,0.04
INT01,FXR73,0.70,0.04
#####
FXR74,FXR76,1.18,0.10
FXR76,FXR74,-0.09,0.10

#####
FXR82,FXR81,0.41,0.03
FXR81,FXR82,-0.44,0.03
#####
FXR76,INT02,1.29,0.05
INT02,FXR76,-3.46,0.05
#####

#####
FXR12,FXR84,0.09,0.04
FXR84,FXR12,-0.12,0.04
#####
FXR83,FXR76,3.32,0.13
FXR76,FXR83,-0.73,0.13
#####
FXR41,FXR12,5.11,0.06
FXR12,FXR41,-7.18,0.06
#####

#####
FXR76,FXR89,-0.77,0.07
FXR89,FXR76,1.19,0.07
#####

INT01,FXR75,0.47,0.02
FXR75,INT01,0.38,0.02
#####

#####
FXR10,INT02,2.57,0.05
INT02,FXR10,-0.28,0.06
#####
FXR12,FXR76,0.62,0.07
FXR76,FXR12,0.54,0.07
#####
FXR76,FXR77,-0.75,0.13
FXR77,FXR76,-0.09,0.13
#####
FXR78,FXR76,-0.26,0.13
FXR76,FXR78,-1.62,0.13
#####

FXR88,FXR85,0.51,0.05
FXR85,FXR88,-0.14,0.05
#####

#####
FXR10,FXR38,-3.54,0.06
FXR38,FXR10,7.50,0.06
#####
FXR81,FXR77,-0.29,0.03
FXR77,FXR81,0.59,0.03
#####
FXR84,FXR74,-0.58,0.06
FXR74,FXR84,1.19,0.06
#####

#####
INT01,FXR10,9.70,0.12
FXR10,INT01,-4.14,0.12
#####
FXR76,FXR81,0.48,0.11
FXR81,FXR76,-0.13,0.11
#####

#####
