#FEP Results - Summary for freenrgworkflow calculations
#Ligand1,Ligand2,dG_free_to_bound,err
jnk1_lig10,jnk1_lig15,0.0834,0.0498
jnk1_lig15,jnk1_lig10,-0.2625,0.0497
#####
jnk1_lig10,jnk1_lig2,-0.2180,0.0391
jnk1_lig2,jnk1_lig10,0.2094,0.0390
#####
jnk1_lig11,jnk1_lig2,0.8258,0.1444
jnk1_lig2,jnk1_lig11,-0.4496,0.1465
#####
jnk1_lig12,jnk1_lig13,-0.4224,0.0373
jnk1_lig13,jnk1_lig12,-0.1300,0.0388
#####
jnk1_lig12,jnk1_lig2,0.7549,0.3004
jnk1_lig2,jnk1_lig12,-0.3341,0.3057
#####
jnk1_lig13,jnk1_lig2,0.8453,0.4617
jnk1_lig2,jnk1_lig13,-2.1858,0.4230
#####
jnk1_lig14,jnk1_lig5,1.0267,0.0509
jnk1_lig5,jnk1_lig14,-1.2289,0.0506
#####
jnk1_lig14,jnk1_lig6,-0.2550,0.0358
jnk1_lig6,jnk1_lig14,-0.4013,0.0364
#####
jnk1_lig14,jnk1_lig8,-3.4046,0.0728
jnk1_lig8,jnk1_lig14,2.8964,0.0662
#####
jnk1_lig15,jnk1_lig2,-0.1638,0.0285
jnk1_lig2,jnk1_lig15,-0.0597,0.0284
#####
jnk1_lig16,jnk1_lig5,0.4284,0.0356
jnk1_lig5,jnk1_lig16,-0.1388,0.0355
#####
jnk1_lig16,jnk1_lig6,-0.3999,0.0339
jnk1_lig6,jnk1_lig16,-0.0727,0.0336
#####
jnk1_lig17,jnk1_lig2,0.9167,0.0438
jnk1_lig2,jnk1_lig17,-1.0419,0.0460
#####
jnk1_lig18,jnk1_lig1,1.4305,0.0556
jnk1_lig1,jnk1_lig18,-0.8482,0.0569
#####
jnk1_lig18,jnk1_lig2,-1.4006,0.0361
jnk1_lig2,jnk1_lig18,1.0949,0.0367
#####
jnk1_lig18,jnk1_lig5,2.1892,0.0403
jnk1_lig5,jnk1_lig18,-1.9379,0.0396
#####
jnk1_lig19,jnk1_lig21,-0.2819,0.0367
jnk1_lig21,jnk1_lig19,0.5014,0.0360
#####
jnk1_lig19,jnk1_lig2,-1.9146,0.0388
jnk1_lig2,jnk1_lig19,1.8726,0.0381
#####
jnk1_lig19,jnk1_lig5,0.9836,0.0366
jnk1_lig5,jnk1_lig19,-0.8562,0.0357
#####
jnk1_lig1,jnk1_lig5,0.6789,0.0356
jnk1_lig5,jnk1_lig1,-0.4653,0.0356
#####
jnk1_lig1,jnk1_lig7,1.2323,0.0390
jnk1_lig7,jnk1_lig1,0.1459,0.0387
#####
jnk1_lig20,jnk1_lig21,0.2087,0.2744
jnk1_lig21,jnk1_lig20,1.0533,0.2807
#####
jnk1_lig20,jnk1_lig5,1.2395,0.1472
jnk1_lig5,jnk1_lig20,-1.3296,0.1535
#####
jnk1_lig20,jnk1_lig9,0.0634,0.0695
jnk1_lig9,jnk1_lig20,-1.2735,0.0704
#####
jnk1_lig21,jnk1_lig5,0.4161,0.0508
jnk1_lig5,jnk1_lig21,-1.4420,0.0523
#####
jnk1_lig2,jnk1_lig4,0.3648,0.3023
jnk1_lig4,jnk1_lig2,-0.6910,0.3892
#####
jnk1_lig2,jnk1_lig5,2.7640,0.0620
jnk1_lig5,jnk1_lig2,-3.4809,0.0454
#####
jnk1_lig3,jnk1_lig5,-0.5711,0.0383
jnk1_lig5,jnk1_lig3,-0.1931,0.0379
#####
jnk1_lig3,jnk1_lig7,-0.1171,0.0362
jnk1_lig7,jnk1_lig3,0.3514,0.0360
#####
jnk1_lig5,jnk1_lig6,-1.1550,0.0362
jnk1_lig6,jnk1_lig5,0.9124,0.0360
#####
jnk1_lig5,jnk1_lig7,0.5553,0.0585
jnk1_lig7,jnk1_lig5,-0.2906,0.0583
#####
jnk1_lig5,jnk1_lig9,-0.7338,0.0513
jnk1_lig9,jnk1_lig5,-1.0229,0.0518
#####
