#FEP Results - Summary for freenrgworkflow calculations
#Ligand1,Ligand2,dG_free_to_bound,err
ptp1b_lig10,ptp1b_lig18,0.5391,0.0888
ptp1b_lig18,ptp1b_lig10,-0.0777,0.0875
#####
ptp1b_lig10,ptp1b_lig7,0.2885,0.0105
ptp1b_lig7,ptp1b_lig10,-0.3781,0.0103
#####
ptp1b_lig11,ptp1b_lig15,0.5930,0.0164
ptp1b_lig15,ptp1b_lig11,-0.6880,0.0164
#####
ptp1b_lig11,ptp1b_lig19,1.7432,0.0861
ptp1b_lig19,ptp1b_lig11,-0.4117,0.0890
#####
ptp1b_lig11,ptp1b_lig23,-1.9605,0.1725
ptp1b_lig23,ptp1b_lig11,2.1742,0.1847
#####
ptp1b_lig11,ptp1b_lig26,-0.3033,0.0160
ptp1b_lig26,ptp1b_lig11,0.0599,0.0160
#####
ptp1b_lig12,ptp1b_lig25,-0.4666,0.0476
ptp1b_lig25,ptp1b_lig12,-0.5647,0.0489
#####
ptp1b_lig12,ptp1b_lig5,0.3905,0.0600
ptp1b_lig5,ptp1b_lig12,0.0938,0.0606
#####
ptp1b_lig13,ptp1b_lig19,0.9630,0.0747
ptp1b_lig19,ptp1b_lig13,-0.3551,0.0786
#####
ptp1b_lig14,ptp1b_lig17,-0.8218,0.0285
ptp1b_lig17,ptp1b_lig14,0.3255,0.0277
#####
ptp1b_lig14,ptp1b_lig6,-0.8316,0.0096
ptp1b_lig6,ptp1b_lig14,0.6382,0.0096
#####
ptp1b_lig14,ptp1b_lig8,0.6388,0.0900
#####
ptp1b_lig15,ptp1b_lig19,1.3314,0.1799
ptp1b_lig19,ptp1b_lig15,0.6563,0.1782
#####
ptp1b_lig16,ptp1b_lig25,1.8454,0.0336
ptp1b_lig25,ptp1b_lig16,-0.1367,0.0349
#####
ptp1b_lig16,ptp1b_lig5,1.5522,0.0584
ptp1b_lig5,ptp1b_lig16,0.2610,0.0587
#####
ptp1b_lig17,ptp1b_lig21,1.4308,0.0434
ptp1b_lig21,ptp1b_lig17,-1.2129,0.0458
#####
ptp1b_lig18,ptp1b_lig24,-0.0032,0.0105
ptp1b_lig24,ptp1b_lig18,0.0662,0.0101
#####
ptp1b_lig19,ptp1b_lig20,-2.6339,0.1194
ptp1b_lig20,ptp1b_lig19,2.9685,0.1221
#####
ptp1b_lig19,ptp1b_lig24,0.2762,0.0444
ptp1b_lig24,ptp1b_lig19,-0.3983,0.0442
#####
ptp1b_lig19,ptp1b_lig25,-0.2663,0.0988
ptp1b_lig25,ptp1b_lig19,-0.0650,0.1001
#####
ptp1b_lig19,ptp1b_lig2,-1.0785,0.9675
ptp1b_lig2,ptp1b_lig19,4.4133,0.7867
#####
ptp1b_lig1,ptp1b_lig25,-0.3220,0.0880
ptp1b_lig25,ptp1b_lig1,0.4371,0.0919
#####
ptp1b_lig1,ptp1b_lig2,-2.0369,0.0944
ptp1b_lig2,ptp1b_lig1,2.0844,0.0871
#####
ptp1b_lig21,ptp1b_lig6,-1.5447,0.0529
ptp1b_lig6,ptp1b_lig21,2.0498,0.0535
#####
ptp1b_lig22,ptp1b_lig26,0.6614,0.1606
ptp1b_lig26,ptp1b_lig22,-1.6537,0.1507
#####
ptp1b_lig22,ptp1b_lig4,0.0163,0.0371
ptp1b_lig4,ptp1b_lig22,-0.3428,0.0378
#####
ptp1b_lig22,ptp1b_lig9,-0.6528,0.1385
ptp1b_lig9,ptp1b_lig22,1.2143,0.1339
#####
ptp1b_lig24,ptp1b_lig25,-0.3890,0.0287
ptp1b_lig25,ptp1b_lig24,0.5370,0.0293
#####
ptp1b_lig24,ptp1b_lig3,-0.5599,0.0731
ptp1b_lig3,ptp1b_lig24,1.9146,0.0769
#####
ptp1b_lig24,ptp1b_lig7,-1.5111,0.0882
ptp1b_lig7,ptp1b_lig24,0.5442,0.0894
#####
ptp1b_lig25,ptp1b_lig2,-1.5929,0.2108
ptp1b_lig2,ptp1b_lig25,2.3609,0.2103
#####
ptp1b_lig26,ptp1b_lig8,-1.2814,0.5260
ptp1b_lig8,ptp1b_lig26,2.1899,0.4486
#####
ptp1b_lig26,ptp1b_lig9,0.5584,1.0017
ptp1b_lig9,ptp1b_lig26,-2.8640,0.9870
#####
