#@@@@@@
#perturbation					DG_free_to_bound  err
24,34,2.06,0.13
21,32,-0.11,0.02
14,04,0.00,1412.80
24,37,0.43,0.09
31,23,-1.51,0.04
09,37,0.04,0.45
21,39,-1.14,0.03
39,35,2.78,0.08
29,37,1.05,0.11
39,33,2.95,0.02
15,19,-1.62,0.05
27,32,0.77,0.07
11,08,1.38,0.04
32,39,-1.82,0.07
24,19,0.26,0.02
18,19,0.21,0.07
32,35,1.28,0.02
11,06,-0.89,0.02
24,12,-0.40,0.03
02,10,0.00,1412.80
13,19,-1.16,0.06
38,21,1.04,0.26
34,02,-0.21,0.05
13,15,0.69,0.05
17,18,-2.68,0.04
02,12,-0.99,0.07
19,36,-0.63,0.05
03,07,-1.36,0.06
37,02,1.20,0.09
16,10,-0.39,0.09
01,37,3.23,0.13
20,37,3.36,0.13
16,04,-0.73,0.06
07,39,-2.15,0.07
37,21,-0.19,0.17
23,30,1.17,0.04
38,15,-0.16,0.15
15,24,-1.19,0.07
26,38,-0.34,0.10
19,22,0.72,0.05
26,36,-1.60,0.03
IOO1,02,0.10,0.08
38,39,-1.56,0.33
32,03,1.75,0.06
35,31,-0.47,0.04
25,32,1.83,0.05
32,05,942.28,999.00
38,32,-1.42,0.26
03,39,0.56,0.11
27,25,995.57,999.00
25,27,1.00,0.05
#####
04,10,-0.57,0.05
16,37,-0.87,0.11
35,23,-0.31,0.08
33,06,-0.54,0.03
19,26,1.49,0.02
13,18,-1.92,0.03
35,05,1.15,0.02
33,08,1.61,0.02
28,30,1.26,0.06
37,39,-3.34,0.15
37,10,0.16,0.06
13,17,0.01,0.02
39,11,1.59,0.02
22,36,-0.41,0.02
34,IOO1,-0.11,0.03
23,28,-0.19,0.02
