FEP Results - Summary of means and sds
Simulation            ,   MBARme,   TImean,   MBARsd,   TIsdev
jnk1_lig10,jnk1_lig15 ,    0.1730,    0.1803,    0.0896,    0.2923
jnk1_lig10,jnk1_lig2  ,   -0.2137,   -0.1280,    0.0043,    0.5350
jnk1_lig11,jnk1_lig2  ,    0.6377,    0.7407,    0.1881,    0.6157
jnk1_lig12,jnk1_lig13 ,   -0.1462,   -0.0590,    0.2762,    0.1408
jnk1_lig12,jnk1_lig2  ,    0.5445,    0.8657,    0.2104,    1.0306
jnk1_lig13,jnk1_lig2  ,    1.5155,    1.1365,    0.6703,    0.0996
jnk1_lig14,jnk1_lig5  ,    1.1278,    1.1154,    0.1011,    0.4409
jnk1_lig14,jnk1_lig6  ,    0.0732,    0.0565,    0.3281,    0.1312
jnk1_lig14,jnk1_lig8  ,   -3.1505,   -3.0023,    0.2541,    0.1105
jnk1_lig15,jnk1_lig2  ,   -0.0521,   -0.0366,    0.1118,    0.3068
jnk1_lig16,jnk1_lig5  ,    0.2836,    0.2741,    0.1448,    0.5805
jnk1_lig16,jnk1_lig6  ,   -0.1636,   -0.1731,    0.2363,    0.1815
jnk1_lig17,jnk1_lig2  ,    0.9793,    0.7382,    0.0626,    0.4377
jnk1_lig18,jnk1_lig1  ,    1.1394,2708190.3575,    0.2912,1533842.5074
jnk1_lig18,jnk1_lig2  ,   -1.2477,   -1.2639,    0.1528,    0.3070
jnk1_lig18,jnk1_lig5  ,    2.0635,    2.1411,    0.1257,    0.6086
jnk1_lig19,jnk1_lig21 ,   -0.3917,   -0.3358,    0.1098,    0.5821
jnk1_lig19,jnk1_lig2  ,   -1.8936,   -1.9451,    0.0210,    0.4455
jnk1_lig19,jnk1_lig5  ,    0.9199,    0.9618,    0.0637,    0.4767
jnk1_lig1,jnk1_lig5  ,    0.5721,    0.6030,    0.1068,    0.5494
jnk1_lig1,jnk1_lig7  ,    0.5432,    0.5450,    0.6891,    1.0641
jnk1_lig20,jnk1_lig21 ,   -0.4223,   -1.4927,    0.6310,    0.1674
jnk1_lig20,jnk1_lig5  ,    1.2845,    0.8459,    0.0450,    0.2682
jnk1_lig20,jnk1_lig9  ,    0.6685,    0.5649,    0.6050,    0.2944
jnk1_lig21,jnk1_lig5  ,    0.9290,    0.8929,    0.5130,    0.0109
jnk1_lig2,jnk1_lig4  ,    0.5279,    0.6189,    0.1631,    0.4387
jnk1_lig2,jnk1_lig5  ,    3.1224,    3.2071,    0.3584,    0.8127
jnk1_lig3,jnk1_lig5  ,   -0.1890,   -0.1218,    0.3821,    0.0232
jnk1_lig3,jnk1_lig7  ,   -0.2342,   -0.2637,    0.1172,    0.5408
jnk1_lig5,jnk1_lig6  ,   -1.0337,   -1.0753,    0.1213,    0.2572
jnk1_lig5,jnk1_lig7  ,    0.4229,    0.3418,    0.1323,    0.7742
jnk1_lig5,jnk1_lig9  ,    0.1446,    0.0953,    0.8783,    0.5015
* results for one direction only
