Perturbation,ddG_offset,variance
BACE_21>BACE_32,-1.2,0.02
BACE_05>BACE_35,-2.32,0.01
BACE_15>BACE_24,-0.28,0.07
BACE_35>BACE_31,0.65,0.04
BACE_24>BACE_34,1.36,0.13
BACE_34>BACE_02,0.63,0.05
BACE_25>BACE_32,0.13,0.05
BACE_23>BACE_35,-0.51,0.05
BACE_13>BACE_18,0.007,0.03
BACE_32>BACE_25,0.81,0.04
BACE_30>BACE_28,-0.7,0.04
BACE_28>BACE_23,0.74,0.02
BACE_24>BACE_12,0.0,0.03
BACE_12>BACE_24,0.13,0.02
BACE_36>BACE_26,0.9,0.02
BACE_02>BACE_24,1.4,0.05
BACE_03>BACE_07,-1.36,0.06
BACE_32>BACE_03,1.67,0.06
BACE_18>BACE_17,0.983,0.03
BACE_33>BACE_08,1.42,0.02
BACE_24>BACE_26,0.46,0.03
BACE_10>BACE_16,0.73,0.05
BACE_15>BACE_13,-1.02,0.03
BACE_33>BACE_06,-0.51,0.03
BACE_28>BACE_30,1.2,0.06
BACE_11>BACE_08,0.22,0.04
BACE_31>BACE_23,-0.81,0.04
BACE_35>BACE_05,2.23,0.02
BACE_35>BACE_32,-0.24,0.02
BACE_23>BACE_31,0.45,0.03
BACE_07>BACE_03,-0.47,0.04
BACE_19>BACE_15,1.72,0.04
BACE_24>BACE_15,0.98,0.05
BACE_32>BACE_21,1.46,0.01
BACE_04>BACE_14,-0.48,0.03
BACE_19>BACE_24,0.8,0.02
BACE_22>BACE_19,-0.64,0.04
BACE_36>BACE_22,0.08,0.01
BACE_08>BACE_11,-1.45,0.03
BACE_13>BACE_19,-1.11,0.06
BACE_25>BACE_27,0.48,0.05
BACE_13>BACE_17,0.45,0.02
BACE_02>BACE_12,-0.73,0.07
BACE_04>BACE_10,-0.85,0.05
BACE_31>BACE_35,-0.28,0.03
BACE_23>BACE_30,0.18,0.04
BACE_23>BACE_28,-1.12,0.02
BACE_32>BACE_35,1.61,0.02
BACE_18>BACE_13,0.033,0.02
BACE_04>BACE_16,1.38,0.04
BACE_27>BACE_32,-0.41,0.07
BACE_30>BACE_23,0.23,0.03
BACE_10>BACE_02,0.83,0.03
BACE_24>BACE_19,-0.6,0.02
BACE_26>BACE_36,-1.32,0.03
BACE_22>BACE_36,-0.41,0.02
BACE_26>BACE_19,-1.5,0.02
BACE_03>BACE_32,-0.34,0.04
BACE_19>BACE_36,-0.08,0.05
BACE_15>BACE_19,-1.57,0.05
BACE_16>BACE_10,-0.87,0.09
BACE_35>BACE_23,1.51,0.08
BACE_02>BACE_34,-0.59,0.04
BACE_24>BACE_02,0.92,0.06
BACE_34>BACE_24,1.44,0.07
BACE_06>BACE_11,0.0,0.02
BACE_19>BACE_18,1.307,0.05
BACE_36>BACE_19,-0.3,0.03
BACE_13>BACE_15,0.69,0.05
BACE_17>BACE_18,-1.193,0.04
BACE_12>BACE_02,0.82,0.05
BACE_19>BACE_13,0.58,0.04
BACE_11>BACE_06,-1.83,0.02
BACE_16>BACE_04,-0.93,0.06
BACE_05>BACE_32,-2.42,0.02
BACE_17>BACE_13,-0.18,0.01
BACE_19>BACE_22,1.27,0.05
BACE_32>BACE_05,3.43,0.02
BACE_32>BACE_27,0.35,0.04
BACE_26>BACE_24,-1.09,0.03
BACE_08>BACE_33,-0.73,0.02
BACE_19>BACE_26,1.76,0.02
BACE_10>BACE_04,0.82,0.04
BACE_18>BACE_19,-1.667,0.07
BACE_06>BACE_33,1.96,0.03
