Perturbation,ddG_offset,variance
FXR85>FXR76,-3.89,0.05
FXR12>FXR76,-3.277,0.07
FXR76>FXR89,1.623,0.07
FXR76>FXR81,2.105,0.11
FXR78>FXR76,-4.582,0.13
FXR74>FXR85,1.548,0.04
FXR76>FXR84,1.185,0.03
FXR76>FXR12,4.437,0.07
FXR84>FXR12,2.462,0.04
FXR81>FXR76,-1.755,0.11
FXR85>FXR88,-0.494,0.05
FXR76>FXR74,2.371,0.1
FXR12>FXR84,-2.492,0.04
FXR76>FXR78,2.702,0.13
FXR76>FXR83,2.137,0.13
FXR84>FXR74,0.567,0.06
FXR89>FXR76,-1.203,0.07
FXR83>FXR82,0.009,0.14
FXR84>FXR76,-1.065,0.03
FXR74>FXR76,-1.281,0.1
FXR88>FXR76,-2.525,0.09
FXR77>FXR81,-0.817,0.03
FXR85>FXR74,-2.098,0.04
FXR76>FXR85,3.88,0.06
FXR76>FXR88,0.045,0.09
FXR83>FXR76,0.453,0.13
FXR88>FXR85,0.864,0.05
FXR76>FXR77,2.282,0.13
FXR82>FXR83,0.161,0.14
FXR38>FXR10,9.203,0.06
FXR82>FXR81,-1.191,0.03
FXR74>FXR84,0.043,0.06
FXR10>FXR38,-5.243,0.06
FXR76>FXR82,1.306,0.08
FXR77>FXR76,-3.122,0.13
FXR81>FXR82,1.161,0.03
FXR12>FXR41,-11.593,0.06
FXR41>FXR12,9.523,0.06
FXR82>FXR76,-1.516,0.08
FXR81>FXR77,1.117,0.03
