Perturbation,ddG_offset,variance
ptp1b_lig5>ptp1b_lig16,0.29,0.0587
ptp1b_lig7>ptp1b_lig10,-0.596,0.0103
ptp1b_lig19>ptp1b_lig2,-0.28,0.9675
ptp1b_lig11>ptp1b_lig15,0.363,0.0164
ptp1b_lig14>ptp1b_lig6,0.215,0.0096
ptp1b_lig21>ptp1b_lig17,2.049,0.0458
ptp1b_lig4>ptp1b_lig22,0.082,0.0378
ptp1b_lig21>ptp1b_lig6,3.173,0.0529
ptp1b_lig13>ptp1b_lig19,0.093,0.0747
ptp1b_lig17>ptp1b_lig21,-1.831,0.0434
ptp1b_lig9>ptp1b_lig22,0.482,0.1339
ptp1b_lig10>ptp1b_lig18,-0.508,0.0888
ptp1b_lig14>ptp1b_lig17,-1.231,0.0285
ptp1b_lig22>ptp1b_lig4,-0.409,0.0371
ptp1b_lig19>ptp1b_lig13,0.515,0.0786
ptp1b_lig19>ptp1b_lig15,1.662,0.1782
ptp1b_lig17>ptp1b_lig14,0.735,0.0277
ptp1b_lig18>ptp1b_lig10,0.969,0.0875
ptp1b_lig12>ptp1b_lig5,0.362,0.06
ptp1b_lig5>ptp1b_lig12,0.123,0.0606
ptp1b_lig10>ptp1b_lig7,0.507,0.0105
ptp1b_lig19>ptp1b_lig11,0.824,0.089
ptp1b_lig2>ptp1b_lig19,3.615,0.7867
ptp1b_lig11>ptp1b_lig23,-0.919,0.1725
ptp1b_lig20>ptp1b_lig19,1.403,0.1221
ptp1b_lig15>ptp1b_lig19,0.326,0.1799
ptp1b_lig2>ptp1b_lig1,1.161,0.0871
ptp1b_lig6>ptp1b_lig14,-0.409,0.0096
ptp1b_lig14>ptp1b_lig8,-0.778,0.09
ptp1b_lig6>ptp1b_lig21,-2.668,0.0535
ptp1b_lig22>ptp1b_lig9,0.079,0.1385
ptp1b_lig19>ptp1b_lig20,-1.068,0.1194
ptp1b_lig11>ptp1b_lig19,0.508,0.0861
ptp1b_lig1>ptp1b_lig2,-1.114,0.0944
ptp1b_lig23>ptp1b_lig11,1.132,0.1847
ptp1b_lig16>ptp1b_lig5,1.523,0.0584
ptp1b_lig15>ptp1b_lig11,-0.458,0.0164
