Perturbation,ddG_offset,variance
throm_jm_3B>throm_jm_3A,-0.11,0.02
throm_jm_3C>throm_jm_3B,0.43,0.04
throm_jm_5C>throm_jm_5B,-0.08,0.04
throm_jm_5D>throm_jm_5C,0.39,0.03
throm_jm_3H>throm_jm_3A,0.7,0.2
throm_jm_5E>throm_jm_5C,-0.03,0.03
throm_jm_5G>throm_jm_5C,0.3,0.2
throm_jm_5G>throm_jm_5F,0.5,0.3
throm_jm_3D>throm_jm_3B,0.6,0.1
throm_jm_5E>throm_jm_5D,0.38,0.03
throm_jm_3J>throm_jm_3B,2.2,0.3
throm_jm_5K>throm_jm_5B,-0.2,0.2
throm_jm_3E>throm_jm_3D,1.18,0.05
throm_jm_5F>throm_jm_5C,-0.66,0.09
throm_jm_5H>throm_jm_5A,1.5,0.2
throm_jm_3E>throm_jm_3C,1.04,0.06
throm_jm_3D>throm_jm_3A,0.0,0.1
throm_jm_5D>throm_jm_5A,1.7,0.1
throm_jm_5D>throm_jm_5B,-0.01,0.08
throm_jm_3K>throm_jm_3B,1.5,0.2
throm_jm_3G>throm_jm_3A,1.1,0.1
throm_jm_3I>throm_jm_3B,1.57,0.03
throm_jm_5I>throm_jm_5A,2.5,0.2
throm_jm_5J>throm_jm_5B,0.9,0.4
throm_jm_3F>throm_jm_3C,0.47,0.05
throm_jm_5B>throm_jm_5A,0.8,0.2
throm_jm_3D>throm_jm_3C,0.09,0.06
